ID Transaksi,Tanggal Transaksi,Nama Barang,Kategori,Jumlah Terjual,Harga Satuan,Total Harga,Metode Pembayaran,Kategori_Encoded,Metode_Pembayaran_Encoded,Bulan Transaksi,Tahun Transaksi
TX-20241001-001,2024-10-01,Life Cat Pouch - Chicken Tuna Adult,Makanan,8,130000,1040000,Tunai,2,2,10,2024
TX-20241006-001,2024-10-06,Trixie Cat Tunnel,Mainan,1,4435,4435,QRIS,1,0,10,2024
TX-20240114-001,2024-01-14,Beaphar Ear Cleaner for Dogs & Cats,Obat Hewan,2,4435,8870,Tunai,3,2,1,2024
TX-20240707-001,2024-07-07,Life Cat Pouch - Kitten Chicken,Makanan,6,12024,72144,Transfer,2,1,7,2024
TX-20240508-001,2024-05-08,Life Cat Pouch - Chicken Tuna Adult,Makanan,3,55833,167499,Tunai,2,2,5,2024
TX-20240613-001,2024-06-13,Trixie Cat Scratching Post,Mainan,5,4435,22175,Tunai,1,2,6,2024
TX-20240507-001,2024-05-07,Trixie Cat Scratching Post,Mainan,15,55833,837495,Transfer,1,1,5,2024
TX-20241118-001,2024-11-18,Life Cat Pouch - Chicken Adult,Makanan,18,12024,216432,QRIS,2,0,11,2024
TX-20240731-001,2024-07-31,Life Cat Pouch Dus,Makanan,10,130000,1300000,Transfer,2,1,7,2024
TX-20240203-001,2024-02-03,Life Cat Tofu - Mango,Makanan,11,50000,550000,Tunai,2,2,2,2024
TX-20240427-001,2024-04-27,Life Cat Can - Kitten Tuna,Makanan,8,250000,2000000,Tunai,2,2,4,2024
TX-20240325-001,2024-03-25,Nutri-Vet Multivitamin Chewable,Obat Hewan,8,50000,400000,Transfer,3,1,3,2024
TX-20240109-001,2024-01-09,Drontal Cat Dewormer,Obat Hewan,2,55833,111666,Tunai,3,2,1,2024
TX-20241112-001,2024-11-12,Kong Classic Dog Chew Toy,Mainan,7,12024,84168,Transfer,1,1,11,2024
TX-20240609-001,2024-06-09,Trixie Cat Scratching Post,Mainan,15,50000,750000,Transfer,1,1,6,2024
TX-20240518-001,2024-05-18,Kong Classic Dog Chew Toy,Mainan,2,55833,111666,Tunai,1,2,5,2024
TX-20240424-001,2024-04-24,Life Cat Pouch - Kitten Tuna,Makanan,5,130000,650000,Tunai,2,2,4,2024
TX-20240809-001,2024-08-09,Trixie Cat Tunnel,Mainan,8,55833,446664,Tunai,1,2,8,2024
TX-20240613-002,2024-06-13,Life Cat Tofu - Macha,Makanan,2,50000,100000,QRIS,2,0,6,2024
TX-20241107-001,2024-11-07,EzyDog Chest Plate Harness for Dogs,Aksesoris,1,130000,130000,Tunai,0,2,11,2024
TX-20240403-001,2024-04-03,Frontline Plus Flea & Tick Treatment,Obat Hewan,17,12024,204408,QRIS,3,0,4,2024
TX-20240812-001,2024-08-12,Trixie Cat Laser Pointer,Mainan,17,50000,850000,QRIS,1,0,8,2024
TX-20240421-001,2024-04-21,Life Cat Pouch Dus,Makanan,19,50000,950000,Transfer,2,1,4,2024
TX-20240807-001,2024-08-07,Life Cat Pouch - Kitten Salmon,Makanan,19,55833,1060827,Transfer,2,1,8,2024
TX-20241010-001,2024-10-10,Life Cat Can - Kitten Tuna,Makanan,9,12024,108216,QRIS,2,0,10,2024
TX-20240531-001,2024-05-31,EzyDog Chest Plate Harness for Dogs,Aksesoris,7,50000,350000,QRIS,0,0,5,2024
TX-20240731-002,2024-07-31,Life Cat Can - Tuna,Makanan,10,55833,558330,Transfer,2,1,7,2024
TX-20240801-001,2024-08-01,Kong Puppy Teething Stick,Mainan,1,4435,4435,QRIS,1,0,8,2024
TX-20241018-001,2024-10-18,Life Cat Pouch - Kitten Chicken,Makanan,11,130000,1430000,Tunai,2,2,10,2024
TX-20240406-001,2024-04-06,Life Cat Pouch - Kitten Salmon,Makanan,10,55833,558330,Transfer,2,1,4,2024
TX-20240801-002,2024-08-01,Life Cat Can - Kitten Tuna,Makanan,17,4435,75395,Tunai,2,2,8,2024
