id_transaksi,tanggal_transaksi,jumlah_terjual,produk1,kategori1,harga1,produk2,kategori2,harga2,produk3,kategori3,harga3,produk4,kategori4,harga4,total_harga,metode_pembayaran
JQeYXXi6,2024-06-29,3,Life Cat Pouch Dus,Makanan Kucing,108000,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4500,,,,,,,112500,Debit Card
AQ9BxDDX,2024-02-17,3,Hiasan Aquarium,Aksesoris Ikan,15000,Makanan Kucing Whiskas,Makanan Kucing,45000,,,,,,,60000,Cash
s7ETKTQ8,2024-11-01,1,Life Cat Can - Chicken & Salmon,Makanan Kucing,12000,Life Cat Tofu - Mango,Makanan Kucing,55833,Makanan Anjing Purina,Makanan Anjing,50000.0,Life Cat Can - Tuna,Makanan Kucing,11000.0,128833,Debit Card
UEflcOAa,2024-06-25,1,Life Cat Tofu - Mango,Makanan Kucing,55833,Mainan Anjing Kong,Mainan Anjing,20000,,,,,,,75833,qris
wSc48TrG,2024-01-08,5,Makanan Kucing Whiskas,Makanan Kucing,45000,Makanan Ikan Gupi,Makanan Ikan,35000,Life Cat Can - Kitten Tuna,Makanan Kucing,12000.0,Mainan Kucing ScratchPad,Mainan Kucing,25000.0,117000,qris
WCktP0EH,2024-01-18,4,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453,Makanan Kucing Whiskas,Makanan Kucing,45000.0,Life Cat Can - Chicken & Salmon,Makanan Kucing,12000.0,65888,Cash
mhT0Vt1d,2024-04-02,3,Life Cat Pouch - Chicken adult,Makanan Kucing,4435,Life Cat Pouch - Kitten Tuna,Makanan Kucing,4435,,,,,,,8870,Cash
OQZGke65,2024-09-29,3,Mainan Anjing Kong,Mainan Anjing,20000,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453,Makanan Anjing Purina,Makanan Anjing,50000.0,,,,74453,qris
UQnvzUTm,2024-01-27,3,Mainan Kucing ScratchPad,Mainan Kucing,25000,Makanan Anjing Purina,Makanan Anjing,50000,Life Cat Can - Tuna,Makanan Kucing,11000.0,Makanan Ikan Gupi,Makanan Ikan,35000.0,121000,Cash
eicKaj9t,2024-11-19,4,Life Cat Can - Chicken & Salmon,Makanan Kucing,12000,Makanan Ikan Gupi,Makanan Ikan,35000,,,,,,,47000,Debit Card
qWlDZiNb,2024-10-21,2,Makanan Ikan Gupi,Makanan Ikan,35000,Life Cat Can - Tuna,Makanan Kucing,11000,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435.0,,,,50435,Debit Card
NuDfIiHM,2024-03-21,5,Makanan Ikan Gupi,Makanan Ikan,35000,Hiasan Aquarium,Aksesoris Ikan,15000,Mainan Kucing ScratchPad,Mainan Kucing,25000.0,Life Cat Tofu - Macha,Makanan Kucing,55833.0,130833,qris
DMdQVOe6,2024-09-19,4,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453,Mainan Anjing Kong,Mainan Anjing,20000,,,,,,,24453,Cash
AuGb46Dd,2024-02-22,4,Life Cat Pouch Dus,Makanan Kucing,108000,Hiasan Aquarium,Aksesoris Ikan,15000,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4500.0,,,,127500,Debit Card
l9yTe81q,2024-06-11,2,Life Cat Can - Kitten Tuna,Makanan Kucing,12000,Life Cat Pouch Dus,Makanan Kucing,108000,,,,,,,120000,Cash
6wKVLTp4,2024-10-25,5,Life Cat Can - Kitten Salmon,Makanan Kucing,12024,Makanan Kucing Whiskas,Makanan Kucing,45000,Life Cat Pouch - Kitten Tuna,Makanan Kucing,4435.0,,,,61459,Cash
o6GHuy0m,2024-10-03,5,Makanan Anjing Purina,Makanan Anjing,50000,Life Cat Can - Kitten Salmon,Makanan Kucing,12024,,,,,,,62024,qris
JIUSAHIG,2024-05-01,2,Life Cat Tofu - Macha,Makanan Kucing,55833,Life Cat Pouch Dus,Makanan Kucing,108000,Life Cat Pouch - Chicken adult,Makanan Kucing,4435.0,Life Cat Tofu - Mango,Makanan Kucing,55833.0,224101,Cash
QmQViN24,2024-04-29,2,Life Cat Can - Kitten Salmon,Makanan Kucing,12024,Mainan Kucing ScratchPad,Mainan Kucing,25000,Mainan Anjing Kong,Mainan Anjing,20000.0,,,,57024,qris
19mSPbJx,2024-07-17,4,Life Cat Pouch Dus,Makanan Kucing,108000,Life Cat Can - Kitten Tuna,Makanan Kucing,12000,Mainan Kucing ScratchPad,Mainan Kucing,25000.0,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453.0,149453,qris
O4coeYNZ,2024-11-20,3,Life Cat Pouch Dus,Makanan Kucing,108000,Life Cat Can - Tuna,Makanan Kucing,11000,Life Cat Can - Kitten Salmon,Makanan Kucing,12024.0,,,,131024,qris
fWxuaPOt,2024-07-11,5,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435,Life Cat Can - Tuna,Makanan Kucing,11000,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453.0,Makanan Ikan Gupi,Makanan Ikan,35000.0,54888,qris
K5kSqxWo,2024-12-13,2,Mainan Anjing Kong,Mainan Anjing,20000,Life Cat Tofu - Macha,Makanan Kucing,55833,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453.0,Life Cat Can - Kitten Tuna,Makanan Kucing,12000.0,92286,Cash
BhY8c35n,2024-12-20,2,Hiasan Aquarium,Aksesoris Ikan,15000,Mainan Anjing Kong,Mainan Anjing,20000,,,,,,,35000,Debit Card
s3GntWeR,2024-07-21,2,Makanan Anjing Purina,Makanan Anjing,50000,Life Cat Tofu - Macha,Makanan Kucing,55833,,,,,,,105833,Cash
h68bzaao,2024-08-16,3,Life Cat Pouch Dus,Makanan Kucing,108000,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453,Life Cat Can - Tuna,Makanan Kucing,11000.0,,,,123453,qris
gpiUq6dI,2024-10-21,3,Hiasan Aquarium,Aksesoris Ikan,15000,Makanan Anjing Purina,Makanan Anjing,50000,Makanan Kucing Whiskas,Makanan Kucing,45000.0,,,,110000,Debit Card
pVqZ2LtJ,2024-01-17,3,Life Cat Can - Kitten Salmon,Makanan Kucing,12024,Life Cat Can - Kitten Tuna,Makanan Kucing,12000,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453.0,,,,28477,qris
CgURwR8W,2024-12-12,2,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4500,Hiasan Aquarium,Aksesoris Ikan,15000,Life Cat Pouch - Chicken adult,Makanan Kucing,4435.0,Life Cat Pouch - Kitten Tuna,Makanan Kucing,4435.0,28370,Debit Card
IqzHAxMZ,2024-02-04,4,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435,Mainan Anjing Kong,Mainan Anjing,20000,Life Cat Pouch - Chicken adult,Makanan Kucing,4435.0,Life Cat Can - Kitten Salmon,Makanan Kucing,12024.0,40894,Debit Card
la3NsiXk,2024-02-27,1,Hiasan Aquarium,Aksesoris Ikan,15000,Mainan Anjing Kong,Mainan Anjing,20000,,,,,,,35000,Cash
nMFAKRSQ,2024-12-08,3,Mainan Kucing ScratchPad,Mainan Kucing,25000,Life Cat Can - Kitten Salmon,Makanan Kucing,12024,Life Cat Pouch - Kitten Tuna,Makanan Kucing,4435.0,,,,41459,qris
