ID Transaksi,Tanggal Transaksi,Metode Pembayaran,Nama Barang 1,Kategori Barang 1,Jumlah Barang Dibeli 1,Harga Barang 1,Nama Barang 2,Kategori Barang 2,Jumlah Barang Dibeli 2,Harga Barang 2,Nama Barang 3,Kategori Barang 3,Jumlah Barang Dibeli 3,Harga Barang 3,Nama Barang 4,Kategori Barang 4,Jumlah Barang Dibeli 4,Harga Barang 4,Nama Barang 5,Kategori Barang 5,Jumlah Barang Dibeli 5,Harga Barang 5,Total Harga Transaksi
AgPeeLTL,2024-03-02,Cash,Life Cat Pouch Dus,Makanan Kucing,7,108000,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,1,4500,Mainan Anjing Kong,Mainan Anjing,9.0,20000.0,Life Cat Tofu - Macha,Makanan Kucing,4.0,55833.0,Life Cat Tofu - Mango,Makanan Kucing,1.0,55833.0,1219665
X3ih6KPj,2024-09-19,Transfer Bank,Life Cat Pouch Dus,Makanan Kucing,7,108000,Makanan Anjing Purina,Makanan Anjing,2,50000,Life Cat Pouch - Kitten Tuna,Makanan Kucing,4.0,4435.0,Makanan Kucing Whiskas,Makanan Kucing,7.0,45000.0,Life Cat Can - Chicken & Salmon,Makanan Kucing,10.0,12000.0,1308740
yJhNjYUP,2024-06-15,Cash,Makanan Anjing Purina,Makanan Anjing,5,50000,Life Cat Pouch - Salmon Adult,Makanan Kucing,5,4453,,,,,,,,,,,,,272265
JSEmCzSj,2024-05-25,Transfer Bank,Makanan Ikan Gupi,Makanan Ikan,4,35000,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,6,4500,Life Cat Pouch - Chicken adult,Makanan Kucing,5.0,4435.0,Life Cat Can - Kitten Tuna,Makanan Kucing,8.0,12000.0,Mainan Anjing Kong,Mainan Anjing,1.0,20000.0,305175
31sF5GKo,2024-02-27,Transfer Bank,Life Cat Can - Kitten Tuna,Makanan Kucing,7,12000,Mainan Anjing Kong,Mainan Anjing,4,20000,Life Cat Can - Kitten Salmon,Makanan Kucing,9.0,12024.0,Life Cat Can - Tuna,Makanan Kucing,6.0,11000.0,Life Cat Pouch - Salmon Adult,Makanan Kucing,9.0,4453.0,378293
ehMzgZTu,2024-10-19,QRIS,Life Cat Tofu - Mango,Makanan Kucing,1,55833,Makanan Ikan Gupi,Makanan Ikan,3,35000,,,,,,,,,,,,,160833
x6YQdvTz,2024-06-02,Transfer Bank,Life Cat Pouch - Kitten Tuna,Makanan Kucing,4,4435,Life Cat Pouch - Kitten Chicken,Makanan Kucing,5,4435,Life Cat Tofu - Mango,Makanan Kucing,4.0,55833.0,,,,,,,,,263247
RWXLNeDR,2024-06-04,Cash,Mainan Kucing ScratchPad,Mainan Kucing,6,25000,Life Cat Can - Kitten Salmon,Makanan Kucing,7,12024,Life Cat Tofu - Macha,Makanan Kucing,1.0,55833.0,,,,,,,,,290001
ZwXep0By,2024-08-07,QRIS,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4,4500,Life Cat Can - Kitten Tuna,Makanan Kucing,10,12000,,,,,,,,,,,,,138000
GYeoEWvR,2024-01-18,Cash,Life Cat Pouch - Salmon Adult,Makanan Kucing,7,4453,Life Cat Tofu - Mango,Makanan Kucing,2,55833,Life Cat Can - Chicken & Salmon,Makanan Kucing,3.0,12000.0,Life Cat Tofu - Macha,Makanan Kucing,8.0,55833.0,Makanan Ikan Gupi,Makanan Ikan,9.0,35000.0,940501
