ID Transaksi,Tanggal Transaksi,Nama Barang,Kategori,Jumlah Terjual,Harga Satuan,Total Harga,Metode Pembayaran
TX-20241023-001,2024-10-23,"Life Cat Pouch - Kitten Tuna, Life Cat Pouch - Chicken Adult","Makanan, Makanan","9, 1","25000, 13000","225000, 13000",QRIS
TX-20240511-001,2024-05-11,Kong Puppy Teething Stick,Mainan,5,20000,100000,QRIS
TX-20240515-001,2024-05-15,"Frontline Plus Flea & Tick Treatment, Nutri-Vet Multivitamin Chewable, Life Cat Can - Kitten Tuna","Obat Hewan, Obat Hewan, Makanan","3, 10, 7","25000, 13000, 20000","75000, 130000, 140000",Tunai
TX-20241031-001,2024-10-31,Life Cat Can - Chicken,Makanan,6,30000,180000,QRIS
TX-20240202-001,2024-02-02,"Rogz Utility Dog Leash - Medium, Trixie Cat Laser Pointer, Life Cat Tofu - Macha","Aksesoris, Mainan, Makanan","4, 5, 9","13000, 13000, 20000","52000, 65000, 180000",Transfer
TX-20240426-001,2024-04-26,"Drontal Cat Dewormer, Rogz Utility Dog Leash - Medium, Kong Puppy Teething Stick","Obat Hewan, Aksesoris, Mainan","6, 9, 3","30000, 13000, 12000","180000, 117000, 36000",QRIS
TX-20241109-001,2024-11-09,"Kong Puppy Teething Stick, Rogz Utility Dog Leash - Medium","Mainan, Aksesoris","10, 6","30000, 4500","300000, 27000",Tunai
TX-20241111-001,2024-11-11,"Seresto Flea and Tick Collar for Dogs, Life Cat Can - Chicken","Obat Hewan, Makanan","5, 3","25000, 25000","125000, 75000",QRIS
TX-20240406-001,2024-04-06,"Life Cat Pouch - Salmon Adult, Nutri-Vet Multivitamin Chewable, Life Cat Pouch Dus","Makanan, Obat Hewan, Makanan","7, 6, 2","20000, 30000, 30000","140000, 180000, 60000",Transfer
TX-20240818-001,2024-08-18,"Rogz Utility Dog Leash - Medium, Seresto Flea and Tick Collar for Dogs, Beaphar Ear Cleaner for Dogs & Cats","Aksesoris, Obat Hewan, Obat Hewan","8, 10, 7","20000, 30000, 25000","160000, 300000, 175000",Tunai
TX-20241018-001,2024-10-18,"Life Cat Tofu - Mango, Seresto Flea and Tick Collar for Dogs, Life Cat Pouch - Salmon Adult","Makanan, Obat Hewan, Makanan","10, 8, 9","30000, 30000, 30000","300000, 240000, 270000",Tunai
TX-20240531-001,2024-05-31,"EzyDog Chest Plate Harness for Dogs, Nutri-Vet Multivitamin Chewable, Kong Puppy Teething Stick","Aksesoris, Obat Hewan, Mainan","1, 3, 1","25000, 20000, 4500","25000, 60000, 4500",Tunai
TX-20241001-001,2024-10-01,"Life Cat Pouch - Salmon Adult, Beaphar Ear Cleaner for Dogs & Cats","Makanan, Obat Hewan","2, 7","25000, 25000","50000, 175000",Transfer
TX-20241004-001,2024-10-04,"Nutri-Vet Multivitamin Chewable, Life Cat Pouch - Kitten Tuna","Obat Hewan, Makanan","6, 1","20000, 20000","120000, 20000",Transfer
TX-20241009-001,2024-10-09,"Trixie Cat Laser Pointer, Drontal Cat Dewormer, Life Cat Pouch - Chicken Tuna Adult","Mainan, Obat Hewan, Makanan","3, 2, 5","25000, 20000, 20000","75000, 40000, 100000",Tunai
TX-20240123-001,2024-01-23,Life Cat Tofu - Mango,Makanan,3,12000,36000,Tunai
TX-20240816-001,2024-08-16,Frontline Plus Flea & Tick Treatment,Obat Hewan,2,20000,40000,QRIS
TX-20240921-001,2024-09-21,"Life Cat Can - Kitten Tuna, Trixie Cat Tunnel, Trixie Cat Laser Pointer","Makanan, Mainan, Mainan","1, 10, 1","20000, 4500, 25000","20000, 45000, 25000",QRIS
TX-20240909-001,2024-09-09,"Frontline Plus Flea & Tick Treatment, Trixie Cat Laser Pointer, Life Cat Can - Chicken","Obat Hewan, Mainan, Makanan","4, 4, 6","30000, 30000, 30000","120000, 120000, 180000",Transfer
TX-20240524-001,2024-05-24,"Drontal Cat Dewormer, Trixie Cat Tunnel","Obat Hewan, Mainan","10, 2","20000, 13000","200000, 26000",Tunai
TX-20240218-001,2024-02-18,Life Cat Tofu - Macha,Makanan,3,30000,90000,Transfer
TX-20241017-001,2024-10-17,Trixie Cat Scratching Post,Mainan,1,13000,13000,Transfer
TX-20240112-001,2024-01-12,"Nutri-Vet Multivitamin Chewable, Life Cat Pouch - Chicken Tuna Adult, Drontal Cat Dewormer","Obat Hewan, Makanan, Obat Hewan","9, 2, 6","12000, 30000, 4500","108000, 60000, 27000",QRIS
TX-20240809-001,2024-08-09,"Life Cat Pouch - Salmon Adult, Life Cat Pouch - Kitten Chicken, Trixie Cat Tunnel","Makanan, Makanan, Mainan","7, 9, 9","4500, 20000, 4500","31500, 180000, 40500",Transfer
TX-20241011-001,2024-10-11,"Nutri-Vet Multivitamin Chewable, Kong Classic Dog Chew Toy","Obat Hewan, Mainan","1, 9","13000, 4500","13000, 40500",QRIS
TX-20240715-001,2024-07-15,"Life Cat Tofu - Macha, Life Cat Pouch - Kitten Salmon, Life Cat Pouch - Chicken Adult","Makanan, Makanan, Makanan","1, 1, 7","30000, 4500, 13000","30000, 4500, 91000",Tunai
TX-20240417-001,2024-04-17,Life Cat Pouch - Chicken Adult,Makanan,6,30000,180000,Tunai
TX-20240704-001,2024-07-04,Rogz Utility Dog Leash - Medium,Aksesoris,6,20000,120000,QRIS
