ID Transaksi,Tanggal Transaksi,Nama Barang,Kategori,Jumlah Terjual,Harga Satuan,Total Harga,Metode Pembayaran
TX-20240617-001,2024-06-17,Trixie Cat Laser Pointer,Mainan,8,250000,2000000,Tunai
TX-20240829-001,2024-08-29,Life Cat Can - Kitten Tuna,Makanan,7,12000,84000,Transfer
TX-20241022-001,2024-10-22,Life Cat Tofu - Macha,Makanan,7,50000,350000,QRIS
TX-20241002-001,2024-10-02,Kong Puppy Teething Stick,Mainan,2,55000,110000,QRIS
TX-20240216-001,2024-02-16,Life Cat Can - Tuna,Makanan,7,250000,1750000,Transfer
TX-20240131-001,2024-01-31,Life Cat Pouch Dus,Makanan,8,55000,440000,QRIS
TX-20240608-001,2024-06-08,Life Cat Pouch - Chicken Tuna Adult,Makanan,6,250000,1500000,Tunai
TX-20240313-001,2024-03-13,Life Cat Pouch - Kitten Tuna,Makanan,5,250000,1250000,Tunai
TX-20241026-001,2024-10-26,Life Cat Pouch - Chicken Adult,Makanan,8,12000,96000,Tunai
TX-20240430-001,2024-04-30,Life Cat Can - Kitten Tuna,Makanan,5,12000,60000,Transfer
TX-20240811-001,2024-08-11,Nutri-Vet Multivitamin Chewable,Obat Hewan,8,50000,400000,Tunai
TX-20241115-001,2024-11-15,Trixie Cat Scratching Post,Mainan,4,130000,520000,QRIS
TX-20240921-001,2024-09-21,Life Cat Pouch - Kitten Tuna,Makanan,4,50000,200000,Transfer
TX-20240223-001,2024-02-23,Life Cat Pouch - Salmon Adult,Makanan,6,50000,300000,Transfer
TX-20240801-001,2024-08-01,Life Cat Tofu - Macha,Makanan,2,50000,100000,Tunai
TX-20240804-001,2024-08-04,Drontal Cat Dewormer,Obat Hewan,3,50000,150000,Tunai
TX-20240907-001,2024-09-07,Trixie Cat Scratching Post,Mainan,3,55000,165000,Transfer
TX-20240719-001,2024-07-19,Trixie Cat Tunnel,Mainan,10,50000,500000,Tunai
TX-20240820-001,2024-08-20,Trixie Cat Tunnel,Mainan,9,250000,2250000,Tunai
TX-20240807-001,2024-08-07,Beaphar Ear Cleaner for Dogs & Cats,Obat Hewan,3,4500,13500,Tunai
TX-20240127-001,2024-01-27,Life Cat Pouch - Kitten Tuna,Makanan,10,12000,120000,Transfer
TX-20240813-001,2024-08-13,EzyDog Chest Plate Harness for Dogs,Aksesoris,3,4500,13500,Transfer
TX-20240729-001,2024-07-29,Drontal Cat Dewormer,Obat Hewan,5,4500,22500,Tunai
TX-20240324-001,2024-03-24,Trixie Cat Laser Pointer,Mainan,1,55000,55000,Transfer
TX-20240708-001,2024-07-08,Life Cat Can - Chicken,Makanan,7,250000,1750000,Tunai
TX-20240213-001,2024-02-13,Trixie Cat Laser Pointer,Mainan,8,12000,96000,Tunai
TX-20241106-001,2024-11-06,Life Cat Pouch - Chicken Adult,Makanan,9,12000,108000,Transfer
TX-20240617-002,2024-06-17,Nutri-Vet Multivitamin Chewable,Obat Hewan,10,12000,120000,QRIS
TX-20240610-001,2024-06-10,Rogz Utility Dog Leash - Medium,Aksesoris,6,250000,1500000,Transfer
TX-20241118-001,2024-11-18,Life Cat Tofu - Macha,Makanan,1,12000,12000,Transfer
TX-20241029-001,2024-10-29,Life Cat Pouch - Kitten Tuna,Makanan,1,130000,130000,Tunai
TX-20240922-001,2024-09-22,Life Cat Can - Kitten Salmon,Makanan,6,4500,27000,Tunai
TX-20241112-001,2024-11-12,Beaphar Ear Cleaner for Dogs & Cats,Obat Hewan,1,250000,250000,Tunai
TX-20240330-001,2024-03-30,Life Cat Can - Kitten Salmon,Makanan,1,12000,12000,Transfer
TX-20240825-001,2024-08-25,Beaphar Ear Cleaner for Dogs & Cats,Obat Hewan,9,130000,1170000,Transfer
TX-20240207-001,2024-02-07,Life Cat Can - Tuna,Makanan,3,250000,750000,Transfer
TX-20240618-001,2024-06-18,Life Cat Pouch Dus,Makanan,9,130000,1170000,Transfer
TX-20240721-001,2024-07-21,Life Cat Pouch - Chicken Tuna Adult,Makanan,3,130000,390000,QRIS
TX-20240112-001,2024-01-12,Life Cat Pouch - Kitten Chicken,Makanan,10,55000,550000,Transfer
TX-20240823-001,2024-08-23,Beaphar Ear Cleaner for Dogs & Cats,Obat Hewan,5,55000,275000,Tunai
TX-20240412-001,2024-04-12,Life Cat Pouch - Kitten Salmon,Makanan,6,4500,27000,Transfer
TX-20240809-001,2024-08-09,Rogz Utility Dog Leash - Medium,Aksesoris,6,130000,780000,Tunai
TX-20240227-001,2024-02-27,Life Cat Tofu - Mango,Makanan,6,250000,1500000,Transfer
TX-20241126-001,2024-11-26,Life Cat Can - Chicken,Makanan,1,55000,55000,Transfer
TX-20241001-001,2024-10-01,Life Cat Can - Kitten Salmon,Makanan,6,130000,780000,QRIS
TX-20240528-001,2024-05-28,Drontal Cat Dewormer,Obat Hewan,3,250000,750000,Transfer
TX-20241016-001,2024-10-16,Life Cat Pouch - Chicken Adult,Makanan,5,130000,650000,Tunai
TX-20240319-001,2024-03-19,Frontline Plus Flea & Tick Treatment,Obat Hewan,7,12000,84000,QRIS
