id_transaksi,tanggal_transaksi,jumlah_terjual,produk1,kategori1,harga1,produk2,kategori2,harga2,produk3,kategori3,harga3,produk4,kategori4,harga4,total_harga,metode_pembayaran
RbXZKYtf,2024-08-16,4,Makanan Kucing Whiskas,Makanan Kucing,45000,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453.0,,,,53888,Debit Card
WqNtB8Yo,2024-12-22,4,Life Cat Can - Kitten Tuna,Makanan Kucing,12000,Makanan Anjing Purina,Makanan Anjing,50000,,,,,,,62000,Credit Card
LvPC9Ibs,2024-01-18,5,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4500,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453,,,,,,,8953,Credit Card
ObqsOqrh,2024-01-23,2,Life Cat Pouch Dus,Makanan Kucing,108000,Hiasan Aquarium,Aksesoris Ikan,15000,,,,,,,123000,Credit Card
k2auCt6F,2024-06-19,5,Life Cat Can - Tuna,Makanan Kucing,11000,Life Cat Can - Kitten Salmon,Makanan Kucing,12024,,,,,,,23024,Credit Card
5xFhYfab,2024-04-02,2,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453,Life Cat Pouch - Chicken adult,Makanan Kucing,4435,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435.0,Life Cat Tofu - Mango,Makanan Kucing,55833.0,69156,Cash
KJgwsMDb,2024-03-22,4,Makanan Ikan Gupi,Makanan Ikan,35000,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435,Life Cat Can - Kitten Tuna,Makanan Kucing,12000.0,,,,51435,Debit Card
dLUjT9WL,2024-07-23,3,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435,,,,,,,8888,Debit Card
uuqDPBV9,2024-12-04,1,Life Cat Tofu - Mango,Makanan Kucing,55833,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453.0,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4500.0,69221,Credit Card
3cYC5qA2,2024-12-01,4,Life Cat Can - Kitten Tuna,Makanan Kucing,12000,Life Cat Pouch - Chicken adult,Makanan Kucing,4435,Hiasan Aquarium,Aksesoris Ikan,15000.0,,,,31435,Cash
sjnki5I4,2024-01-24,1,Makanan Kucing Whiskas,Makanan Kucing,45000,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453,,,,,,,49453,Debit Card
tt66hD2c,2024-05-18,2,Mainan Anjing Kong,Mainan Anjing,20000,Life Cat Tofu - Macha,Makanan Kucing,55833,,,,,,,75833,Cash
fDpc7yTz,2024-12-12,5,Life Cat Pouch - Chicken adult,Makanan Kucing,4435,Life Cat Can - Tuna,Makanan Kucing,11000,Life Cat Can - Kitten Salmon,Makanan Kucing,12024.0,,,,27459,Credit Card
l6anczmS,2024-10-25,1,Life Cat Can - Kitten Tuna,Makanan Kucing,12000,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4500,Life Cat Pouch Dus,Makanan Kucing,108000.0,Life Cat Can - Kitten Salmon,Makanan Kucing,12024.0,136524,Credit Card
XvUintP7,2024-06-03,3,Life Cat Tofu - Mango,Makanan Kucing,55833,Makanan Kucing Whiskas,Makanan Kucing,45000,Mainan Kucing ScratchPad,Mainan Kucing,25000.0,Life Cat Can - Tuna,Makanan Kucing,11000.0,136833,Cash
5gY6FnnD,2024-07-24,4,Mainan Anjing Kong,Mainan Anjing,20000,Life Cat Tofu - Mango,Makanan Kucing,55833,Mainan Kucing ScratchPad,Mainan Kucing,25000.0,,,,100833,Cash
pb3VPMPZ,2024-09-16,1,Makanan Anjing Purina,Makanan Anjing,50000,Mainan Kucing ScratchPad,Mainan Kucing,25000,Makanan Kucing Whiskas,Makanan Kucing,45000.0,Life Cat Can - Kitten Salmon,Makanan Kucing,12024.0,132024,Cash
BAYE7y0A,2024-04-24,3,Makanan Anjing Purina,Makanan Anjing,50000,Life Cat Can - Chicken & Salmon,Makanan Kucing,12000,Life Cat Pouch - Kitten Tuna,Makanan Kucing,4435.0,,,,66435,Debit Card
Ya3v298d,2024-04-11,1,Mainan Kucing ScratchPad,Mainan Kucing,25000,Life Cat Pouch - Kitten Tuna,Makanan Kucing,4435,,,,,,,29435,Debit Card
q97mJzmp,2024-06-05,1,Makanan Kucing Whiskas,Makanan Kucing,45000,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435,Life Cat Tofu - Macha,Makanan Kucing,55833.0,,,,105268,Debit Card
DdXC7oAD,2024-12-28,4,Life Cat Pouch - Chicken adult,Makanan Kucing,4435,Mainan Anjing Kong,Mainan Anjing,20000,,,,,,,24435,Debit Card
E5Kcbcdc,2024-03-23,1,Makanan Anjing Purina,Makanan Anjing,50000,Life Cat Tofu - Mango,Makanan Kucing,55833,,,,,,,105833,Debit Card
ZZaioO0H,2024-01-03,1,Life Cat Can - Chicken & Salmon,Makanan Kucing,12000,Makanan Anjing Purina,Makanan Anjing,50000,,,,,,,62000,Credit Card
ZNtsTZb9,2024-04-29,4,Makanan Anjing Purina,Makanan Anjing,50000,Life Cat Can - Chicken & Salmon,Makanan Kucing,12000,Makanan Ikan Gupi,Makanan Ikan,35000.0,,,,97000,Cash
ckoJ1FqA,2024-01-24,3,Life Cat Can - Kitten Tuna,Makanan Kucing,12000,Hiasan Aquarium,Aksesoris Ikan,15000,Makanan Ikan Gupi,Makanan Ikan,35000.0,,,,62000,Credit Card
6eQTlVjj,2024-07-06,3,Life Cat Can - Kitten Tuna,Makanan Kucing,12000,Life Cat Can - Tuna,Makanan Kucing,11000,Makanan Anjing Purina,Makanan Anjing,50000.0,Life Cat Tofu - Mango,Makanan Kucing,55833.0,128833,Cash
X5WnLaKq,2024-07-14,5,Life Cat Can - Kitten Tuna,Makanan Kucing,12000,Life Cat Can - Tuna,Makanan Kucing,11000,Mainan Kucing ScratchPad,Mainan Kucing,25000.0,Life Cat Tofu - Mango,Makanan Kucing,55833.0,103833,Credit Card
miM3wswT,2024-01-15,4,Life Cat Can - Kitten Salmon,Makanan Kucing,12024,Makanan Anjing Purina,Makanan Anjing,50000,Life Cat Can - Kitten Tuna,Makanan Kucing,12000.0,,,,74024,Cash
2liNuiFE,2024-03-22,2,Makanan Kucing Whiskas,Makanan Kucing,45000,Mainan Kucing ScratchPad,Mainan Kucing,25000,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435.0,,,,74435,Cash
i0T5Wx2q,2024-04-23,1,Makanan Ikan Gupi,Makanan Ikan,35000,Life Cat Can - Tuna,Makanan Kucing,11000,,,,,,,46000,Debit Card
3MOd7wAU,2024-06-23,1,Life Cat Pouch - Chicken adult,Makanan Kucing,4435,Life Cat Pouch - Kitten Tuna,Makanan Kucing,4435,Life Cat Can - Chicken & Salmon,Makanan Kucing,12000.0,,,,20870,Cash
ZDeaRMuQ,2024-07-14,4,Mainan Kucing ScratchPad,Mainan Kucing,25000,Life Cat Tofu - Mango,Makanan Kucing,55833,Life Cat Pouch - Kitten Tuna,Makanan Kucing,4435.0,Life Cat Can - Kitten Salmon,Makanan Kucing,12024.0,97292,Credit Card
6YSmJKg9,2024-05-19,2,Makanan Anjing Purina,Makanan Anjing,50000,Life Cat Can - Chicken & Salmon,Makanan Kucing,12000,,,,,,,62000,Cash
MduKBnJw,2024-06-20,5,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453,Life Cat Tofu - Mango,Makanan Kucing,55833,Hiasan Aquarium,Aksesoris Ikan,15000.0,,,,75286,Cash
UXbIFuZS,2024-04-27,3,Makanan Ikan Gupi,Makanan Ikan,35000,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435,Hiasan Aquarium,Aksesoris Ikan,15000.0,Life Cat Pouch Dus,Makanan Kucing,108000.0,162435,Debit Card
3BV2UDXN,2024-08-04,2,Life Cat Pouch - Chicken adult,Makanan Kucing,4435,Life Cat Pouch Dus,Makanan Kucing,108000,Life Cat Can - Kitten Salmon,Makanan Kucing,12024.0,,,,124459,Cash
jEbE7lp0,2024-03-13,4,Life Cat Pouch - Chicken adult,Makanan Kucing,4435,Life Cat Can - Kitten Tuna,Makanan Kucing,12000,Makanan Kucing Whiskas,Makanan Kucing,45000.0,Mainan Kucing ScratchPad,Mainan Kucing,25000.0,86435,Debit Card
